hub_id,company_name,sido,lat,lon,area_m2,fixed_cost,capacity_tons,storage_item
WH_0001,LogiCorp Seoul 1,Seoul,37.74097456282324,126.97953495915293,1514,1514000,757.0,Mixed Goods
WH_0002,LogiCorp Seoul 2,Seoul,37.63581552113949,127.00785895433602,2392,2392000,1196.0,Mixed Goods
WH_0003,LogiCorp Seoul 3,Seoul,37.5769703127485,126.92020296047073,5632,5632000,2816.0,Mixed Goods
WH_0004,LogiCorp Seoul 4,Seoul,37.66581960117816,127.2159025224218,1113,1113000,556.5,Mixed Goods
WH_0005,LogiCorp Seoul 5,Seoul,37.88645500619844,126.68518683007161,4096,4096000,2048.0,Mixed Goods
WH_0006,LogiCorp Seoul 6,Seoul,37.65474758097268,127.02014878016026,2328,2328000,1164.0,Mixed Goods
WH_0007,LogiCorp Seoul 7,Seoul,37.53528166244641,126.90404985980118,2423,2423000,1211.5,Mixed Goods
WH_0008,LogiCorp Seoul 8,Seoul,37.69394031455315,127.03155232289475,2140,2140000,1070.0,Mixed Goods
WH_0009,LogiCorp Seoul 9,Seoul,37.701439981314984,127.02409492813149,13036,13036000,6518.0,Mixed Goods
WH_0010,LogiCorp Seoul 10,Seoul,37.660944326288536,126.85365074836169,2509,2509000,1254.5,Mixed Goods
WH_0011,LogiCorp Seoul 11,Seoul,37.67859404076849,127.06955553981501,4793,4793000,2396.5,Mixed Goods
WH_0012,LogiCorp Seoul 12,Seoul,37.584099107496314,127.16964973436826,2417,2417000,1208.5,Mixed Goods
WH_0013,LogiCorp Seoul 13,Seoul,37.6485646071755,126.9476711021349,3785,3785000,1892.5,Mixed Goods
WH_0014,LogiCorp Seoul 14,Seoul,37.73131652779808,127.1018124523482,13046,13046000,6523.0,Mixed Goods
WH_0015,LogiCorp Seoul 15,Seoul,37.762321821073144,126.98115057624491,11141,11141000,5570.5,Mixed Goods
WH_0016,LogiCorp Seoul 16,Seoul,37.519959986510976,127.02662495287326,4204,4204000,2102.0,Mixed Goods
